0;id;notes;macro;version;arch;enabled;update;remove;name;url;manifest;deps;rank;class;packages;brief;description
234;53;removed;DIA-TECH_ASZABO;current;i386;0;0;1;dia-tech-curr-kde4.4;http://www.dia-tech.net/linux/Slackware-current-kde4.4/;;0;99;32cur;PACKAGES.TXT.gz;Aszabo for kde 4.4;Kde 4.4 from Aszabo (www.dia-tech.net) for Slackware Current
241;82;todo;ELETTROLINUX;13.37;i386;1;;0;elettrolinux-for-13.37;http://repository.elettrolinux.com/Slackware-13.37/;MANIFEST.bz2;1;99;32137;PACKAGES.TXT.gz;Michele.P;x
242;56;;ELETTROLINUX;13.0;i386;1;0;0;elettrolinux-for-13.0;http://repository.elettrolinux.com/Slackware-13.0/;;1;99;32130;PACKAGES.TXT.gz;Michele.P;x
243;77;;ELETTROLINUX;13.1;i386;1;0;0;elettrolinux-for-13.1;http://repository.elettrolinux.com/Slackware-13.1/;;1;99;32131;PACKAGES.TXT.gz;Michele.P;x
244;98;wait;ELETTROLINUX;14.0;i386;0;1;0;elettrolinux-for-14.0;http://repository.elettrolinux.com/Slackware-14.0/;MANIFEST.bz2;1;99;32140;PACKAGES.TXT.gz;Michele.P;x
260;113;;SLACKEL;13.37;i386;0;0;0;slackel-13.37;http://www.slackel.gr/repo/i486/13.37/;;1;99;32137;PACKAGES.TXT.gz;Slackel;Live distribution based on Slackware and Salix 13.37 32bit
261;114;;SLACKEL;13.37;x86_64;;0;0;slackel64-13.37;http://www.slackel.gr/repo/x86_64/13.37/;;1;99;64137;PACKAGES.TXT.gz;Slackel;Live distribution based on Slackware and Salix 13.37 64bit
262;115;;SLACKEL;current;i386;1;1;0;slackel-current;http://www.slackel.gr/repo/i486/current/;;1;99;32cur;PACKAGES.TXT.gz;Slackel;Live distribution based on Slackware and Salix current 32bit
263;116;;SLACKEL;current;x86_64;1;1;0;slackel64-current;http://www.slackel.gr/repo/x86_64/current/;;1;99;64cur;PACKAGES.TXT.gz;Slackel;Live distribution based on Slackware and Salix current 64bit
264;117;;SLACKEL;14.0;i386;0;1;0;slackel-14.0;http://www.slackel.gr/repo/i486/14.0/;;1;99;32140;PACKAGES.TXT.gz;Slackel;Live distribution based on Slackware and Salix 14.0 32bit
265;118;;SLACKEL;14.0;x86_64;0;1;0;slackel64-14.0;http://www.slackel.gr/repo/x86_64/14.0/;;1;99;64140;PACKAGES.TXT.gz;Slackel;Live distribution based on Slackware and Salix 14.0 64bit
280;32;obsolete;ALIEN;mixed;mixed;0;0;1;alien;http://connie.slackware.com/~alien/slackbuilds/;MANIFEST.bz2;0;99;mimix;PACKAGES.TXT.gz;Alien Bob;Repository from Alien Bob (connie.slackware.com/~alien) containing mixed 32 and 64 bit packages for mixed Slackware versions
281;37;obsolete;ALIEN;mixed;mixed;1;1;;alien-restricted;http://ftp.slackware.org.uk/people/alien/restricted_slackbuilds/;MANIFEST.bz2;0;99;mimix;PACKAGES.TXT.gz;Alien Restricted;Alien Alternative Repository for non U.S.A. people
282;107;obsolete;ALIEN;mixed;x86_64;0;0;1;alien-multilib;http://ftp.slackware.org.uk/people/alien/multilib/;;0;99;64mix;PACKAGES.TXT.gz;Alien Bob Multilib;Alien Bob Multilib compat32 packages
283;119;;ALIEN;14.0;x86_64;1;1;;alien64-14.0;http://taper.alienbase.nl/mirrors/people/alien/sbrepos/14.0/x86_64/;MANIFEST.bz2;;50;64140;PACKAGES.TXT.gz;Alien Bob;Repository from Alien Bob (connie.slackware.com/~alien)
284;120;;ALIEN;14.0;i386;1;1;;alien-14.0;http://taper.alienbase.nl/mirrors/people/alien/sbrepos/14.0/x86/;MANIFEST.bz2;;50;32140;PACKAGES.TXT.gz;Alien Bob;Repository from Alien Bob (connie.slackware.com/~alien)
285;121;;ALIEN;13.37;x86_64;1;1;;alien64-13.37;http://taper.alienbase.nl/mirrors/people/alien/sbrepos/13.37/x86_64/;MANIFEST.bz2;;50;64137;PACKAGES.TXT.gz;Alien Bob;Repository from Alien Bob (connie.slackware.com/~alien)
286;122;;ALIEN;13.37;i386;1;1;;alien-13.37;http://taper.alienbase.nl/mirrors/people/alien/sbrepos/13.37/x86/;MANIFEST.bz2;;50;32137;PACKAGES.TXT.gz;Alien Bob;Repository from Alien Bob (connie.slackware.com/~alien)
287;123;;ALIEN;13.1;x86_64;1;1;;alien64-13.1;http://taper.alienbase.nl/mirrors/people/alien/sbrepos/13.1/x86_64/;MANIFEST.bz2;;50;64131;PACKAGES.TXT.gz;Alien Bob;Repository from Alien Bob (connie.slackware.com/~alien)
288;124;;ALIEN;13.1;i386;1;1;;alien-13.1;http://taper.alienbase.nl/mirrors/people/alien/sbrepos/13.1/x86/;MANIFEST.bz2;;50;32131;PACKAGES.TXT.gz;Alien Bob;Repository from Alien Bob (connie.slackware.com/~alien)
289;125;;ALIEN;13.0;x86_64;1;1;;alien64-13.0;http://taper.alienbase.nl/mirrors/people/alien/sbrepos/13.0/x86_64/;MANIFEST.bz2;;50;64130;PACKAGES.TXT.gz;Alien Bob;Repository from Alien Bob (connie.slackware.com/~alien)
290;126;;ALIEN;13.0;i386;1;1;;alien-13.0;http://taper.alienbase.nl/mirrors/people/alien/sbrepos/13.0/x86/;MANIFEST.bz2;;50;32130;PACKAGES.TXT.gz;Alien Bob;Repository from Alien Bob (connie.slackware.com/~alien)
291;127;;ALIEN;current;x86_64;1;1;;alien-multilib-current;http://taper.alienbase.nl/mirrors/people/alien/multilib/current/;MANIFEST.bz2;;99;64cur;PACKAGES.TXT.gz;Alien Bob;Alien Bob Multilib compat32 packages
292;128;;ALIEN;13.0;x86_64;1;1;;alien-multilib-13.0;http://taper.alienbase.nl/mirrors/people/alien/multilib/13.0/;MANIFEST.bz2;;99;64130;PACKAGES.TXT.gz;Alien Bob;Alien Bob Multilib compat32 packages
293;129;;ALIEN;13.1;x86_64;1;1;;alien-multilib-13.1;http://taper.alienbase.nl/mirrors/people/alien/multilib/13.1/;MANIFEST.bz2;;99;64131;PACKAGES.TXT.gz;Alien Bob;Alien Bob Multilib compat32 packages
294;130;;ALIEN;13.37;x86_64;1;1;;alien-multilib-13.37;http://taper.alienbase.nl/mirrors/people/alien/multilib/13.37/;MANIFEST.bz2;;99;64137;PACKAGES.TXT.gz;Alien Bob;Alien Bob Multilib compat32 packages
295;131;;ALIEN;14.0;x86_64;1;1;;alien-multilib-14.0;http://taper.alienbase.nl/mirrors/people/alien/multilib/14.0/;MANIFEST.bz2;;99;64140;PACKAGES.TXT.gz;Alien Bob;Alien Bob Multilib compat32 packages
